Year,Total_Area
1985,52935986
1986,29507046
1987,43131632
1988,32084869
1989,45217935
1990,65299251
1991,52030806
1992,34169499
1993,24601695
1994,50846385
1995,17073712
1996,15709457
1997,24967749
1998,6943254
1999,38572486
2000,21706472
2001,33024098
2002,43603172
2003,50534125
2004,56604750
2005,57436113
2006,29862427
2007,48443723
2008,45520061
2009,44039762
2010,43398100
2011,24979364
2012,23613329
2013,48877407
2014,20341095
2015,28717315
2016,28724409
2017,22554858
2018,37873044
2019,15229235
2020,24456698
