Year,Total_Pop
1985.0,1313.666660777479
1986.0,1416.6666658148065
1987.0,1536.0000129675434
1988.0,1657.3333674538735
1989.0,1747.3333319748576
1990.0,1753.666684732089
1991.0,1825.6666734215096
1992.0,1907.333315135172
1993.0,2093.6666572624404
1994.0,2233.0000161017247
1995.0,2324.999983592751
1996.0,2338.000006553716
1997.0,2294.6666552760994
1998.0,2206.999997849762
1999.0,2144.441549149011
2000.0,2173.802089956973
2001.0,2189.449324541417
2002.0,2205.666578717855
2003.0,2268.3333280011684
2004.0,2489.666713291804
2005.0,2688.333291096948
2006.0,2750.6667285929902
2007.0,2817.666637099653
2008.0,2825.9999739987925
2009.0,2813.586162659051
2010.0,2711.3333133822603
2011.0,2728.8333
2012.0,2746.3333366269453
2013.0,2828.0000337218034
2014.0,2881.0000000297555
2015.0,2990
2016.0,3194
2017.0,3104
2018.0,3035
2019.0,2963
2020.0,2999
